"VNUM","Sub-feature","small crater?","NB","W*_T from","d [km]","h [km]","H [km]","W* [km]","C [dimless]","ave. ei [dimless]","T [dimless]","sv"
264030,0,,1,0,8.500,0.425,2.460,34.250,0.400,,0.124,
264040,0,0,4,1,6.840,1.120,2.660,17.000,0.630,1.490,0.277,34
264050,0,0,4,1,,,1.910,6.500,,2.020,0.214,4
264060,0,,,0,3.000,0.220,0.840,8.500,0.510,,0.176,
264080,0,0,4,1,0.220,0.153,1.590,2.530,0.340,1.150,0.115,0
264090,0,1,4,1,,,1.030,3.520,,3.220,0.291,12
264100,0,0,4,1,,,1.570,2.885,,1.200,0.066,0
264110,0,0,4,1,,,0.620,1.520,,1.360,0.235,0
264140,0,1,1,1,,,1.020,2.800,,2.640,0.242,2
264150,0,0,4,1,,,0.850,3.480,,1.720,0.108,4
264160,0,1,4,1,,,1.150,2.200,,1.570,0.293,2
264180,0,1,4,1,,,1.690,5.100,,2.050,0.298,3
264220,0,1,4,1,,,1.580,3.805,,1.350,0.177,0
264230,0,1,4,1,,,1.420,3.545,,1.270,0.156,3
264240,0,0,4,1,,,1.590,4.310,,1.550,0.102,2
264250,0,0,5,1,,,1.020,2.180,,2.010,0.079,5
264260,0,0,4,1,,,0.640,1.410,0.600,1.960,0.131,0
264270,0,0,4,1,1.750,0.200,1.320,4.470,0.560,2.150,0.595,8
265040,0,1,4,1,,,0.850,2.400,,2.120,0.286,3
265050,0,0,4,1,,,0.730,2.175,,1.890,0.155,5
265060,0,0,4,1,,,0.740,2.550,,1.540,0.077,3
265070,0,0,4,1,,,0.610,1.410,,2.030,0.128,2
266010,0,0,4,1,,,0.410,5.050,,1.620,0.312,13
266020,0,0,4,1,,,1.130,4.210,,3.000,0.587,21
266030,0,0,4,1,,,1.010,2.165,,1.390,0.195,2
266070,0,,1,0,23.000,0.300,1.000,46.500,0.160,,0.247,
266100,1,0,4,1,,,0.660,1.100,,1.190,0.259,0
266110,0,1,1,1,,,0.910,2.785,,1.810,0.272,2
266120,0,0,4,1,0.210,0.030,1.710,4.665,0.440,1.330,0.055,1
266130,1,0,4,1,1.940,0.220,1.060,2.950,,,0.329,2
267010,0,,1,0,0.325,0.150,0.915,10.163,0.730,,0.016,
267020,0,0,4,1,,,1.790,4.440,,1.500,0.075,3
267040,0,0,4,1,1.420,0.240,1.320,4.720,0.430,1.490,0.299,9
268010,0,0,1,1,,,1.200,8.400,,2.530,0.374,52
268020,0,0,4,1,,,0.750,1.735,,1.720,0.130,0
268030,0,0,4,1,1.270,0.270,1.170,3.520,0.700,1.410,0.181,3
268040,0,1,4,1,,,1.540,4.505,,1.340,0.173,2
268050,0,,,0,2.400,0.345,0.890,10.700,0.590,,0.112,
268051,0,0,4,1,,,0.920,1.890,,1.520,0.090,0
268052,0,0,4,1,,,0.650,1.450,,1.400,0.299,0
268060,0,0,4,1,0.275,0.082,1.700,5.400,0.640,1.220,0.074,0
268061,0,0,4,1,,,1.720,3.880,,1.160,0.050,0
268062,0,0,4,1,,,0.300,1.380,,2.050,0.615,3
268063,0,1,4,1,,,0.930,2.625,,1.480,0.167,0
268070,0,0,4,1,2.030,0.320,1.340,5.100,0.520,1.190,0.199,2
268071,0,0,4,1,,,0.390,1.570,,3.590,0.140,2
268072,0,0,1,1,,,0.960,3.090,,2.060,0.247,3
268073,0,0,4,1,,,0.790,2.000,,1.260,0.083,0
271010,0,0,4,1,,,0.840,3.970,,1.660,0.323,3
271011,0,0,1,1,2.890,0.320,1.620,12.050,,2.720,0.120,124
271020,0,0,1,1,,,1.350,3.645,,1.410,0.056,3
271030,0,0,1,1,,,2.290,8.050,,2.570,0.227,30
271040,0,0,1,1,,,1.630,9.200,,2.670,0.162,44
271050,0,0,4,1,,,0.670,1.165,,1.500,0.344,0
271060,0,0,4,1,,,1.770,7.650,,2.360,0.266,27
271061,0,0,4,1,,,2.090,11.550,,2.350,0.135,42
