"VNUM","Sub-feature","small crater?","NB","W*_T from","d [km]","h [km]","H [km]","W* [km]","C [dimless]","ave. ei [dimless]","T [dimless]","sv"
360050,0,0,4,1,,,0.880,3.190,,2.430,0.183,5
360060,0,0,1,1,,,1.180,4.080,,2.360,0.140,5
360080,0,0,4,1,,,0.790,3.650,,2.210,0.079,11
360090,0,0,4,1,,,1.410,7.450,,2.110,0.061,30
360100,0,0,1,1,,,1.020,2.830,,2.430,0.572,4
360110,0,0,5,1,,,0.920,3.335,,2.040,0.062,16
360120,0,0,4,1,,,1.370,6.600,,1.960,0.084,14
360150,0,0,4,1,2.180,0.230,1.200,4.425,,1.420,0.247,0
360170,0,0,4,1,,,0.810,5.600,,2.530,0.225,21
370030,1,,,0,0.190,0.060,0.093,2.575,0.550,,0.037,
370030,1,,1,0,0.175,0.040,0.055,2.178,0.590,,0.040,
370030,1,,1,0,0.190,0.025,0.105,2.250,0.470,,0.042,
370030,1,,1,0,0.275,0.020,0.260,3.138,0.220,,0.044,
371040,1,,1,0,0.320,0.010,0.250,3.375,0.440,,0.047,
371050,1,,,0,0.350,0.010,0.105,2.600,0.220,,0.067,
371070,1,,,0,0.350,0.060,0.590,5.685,0.560,,0.031,
371080,1,,1,0,0.600,0.010,0.240,2.900,0.340,,0.103,
371080,1,,1,0,0.425,0.020,0.165,5.213,0.300,,0.041,
371080,1,,,0,0.525,0.050,0.190,5.638,0.560,,0.047,
371080,1,,,0,0.490,0.035,0.225,4.185,0.390,,0.059,
371080,1,,1,0,0.325,0.085,0.445,2.263,0.200,,0.072,
371080,1,,1,0,0.315,0.015,0.325,3.158,0.750,,0.050,
372070,0,,1,0,0.340,0.090,1.000,10.170,0.040,,0.017,
373010,0,,1,0,10.850,0.220,1.000,12.925,0.520,,0.420,
373060,0,,,0,9.500,0.200,0.550,14.750,0.550,,0.322,
373060,1,,,0,0.550,0.060,0.470,4.275,0.400,,0.064,
373070,1,,,0,0.690,0.070,0.300,7.220,0.340,,0.048,
373090,0,,,0,0.675,0.140,0.160,5.588,0.550,,0.060,
376010,1,,,0,1.750,0.250,2.580,11.875,0.560,,0.074,
382001,0,0,4,1,,,0.900,6.600,,1.900,0.623,17
382002,0,0,4,1,1.890,0.180,0.690,2.260,0.600,1.790,0.418,0
382010,0,0,4,1,2.020,0.350,1.040,7.400,0.670,1.700,0.137,9
382020,0,0,4,1,,,2.110,4.720,,1.250,0.070,2
382040,0,0,5,1,1.160,0.180,0.380,2.150,0.350,1.770,0.270,2
382050,0,0,4,1,,,0.800,3.785,,1.430,0.365,6
382050,1,,1,0,7.000,0.100,1.450,20.500,0.790,,0.171,
382050,1,,,0,2.100,0.100,2.000,16.050,0.440,,0.065,
382080,0,0,4,1,5.000,0.340,0.840,6.350,0.670,,0.394,12
382090,0,0,4,1,3.000,0.150,0.930,6.450,0.620,,0.233,31
382100,0,,,0,6.000,0.300,2.000,23.000,0.720,,0.130,
382100,0,,1,0,6.500,0.450,2.100,23.250,0.730,,0.140,
383020,0,0,4,1,,,1.490,9.100,,3.680,0.445,21
383030,1,0,4,1,,,2.150,4.510,0.690,1.650,0.041,2
383030,0,,1,0,13.000,0.215,3.900,31.500,0.330,,0.206,
383060,0,,,0,1.140,0.210,0.190,1.270,0.790,,0.449,
384010,0,0,4,1,9.000,0.600,2.780,12.150,0.640,1.260,0.430,22
384010,1,1,4,1,0.500,0.150,1.610,2.340,0.550,1.110,0.166,22
384020,0,0,4,1,,,0.950,4.325,,1.750,0.077,14
385050,0,0,4,1,,,0.820,3.710,,2.180,0.111,9
386010,0,0,1,1,0.420,0.060,1.420,3.325,0.700,1.320,0.095,0
386020,0,0,4,1,3.515,0.250,0.750,3.915,0.500,1.540,0.449,5
390020,0,,,0,0.550,0.160,4.290,30.275,0.550,,0.009,
390023,0,,1,0,4.500,0.200,1.300,9.050,0.680,,0.249,
390030,0,,,0,10.300,0.450,0.775,19.150,0.590,,0.269,
390031,0,,,0,0.350,0.035,0.155,0.545,0.610,,0.321,
