Sulu Range,Papua New Guinea,252090
Hargy,Papua New Guinea,252100
Bamus,Papua New Guinea,252110
Ulawun,Papua New Guinea,252120
Lolobau,Papua New Guinea,252130
Rabaul,Papua New Guinea,252140
Tavui,Papua New Guinea,252150
Koranga,Papua New Guinea,253003
Madilogo,Papua New Guinea,253004
Lamington,Papua New Guinea,253010
Hydrographers Range,Papua New Guinea,253011
Managlase Plateau,Papua New Guinea,253021
Victory,Papua New Guinea,253030
Sessagara,Papua New Guinea,253031
Waiowa,Papua New Guinea,253040
Goodenough,Papua New Guinea,253041
Iamalele,Papua New Guinea,253050
Dawson Strait Group,Papua New Guinea,253060
Lihir,Papua New Guinea,254010
Ambitle,Papua New Guinea,254020
Tore,Papua New Guinea,255000
Balbi,Papua New Guinea,255010
Billy Mitchell,Papua New Guinea,255011
Bagana,Papua New Guinea,255020
Takuan Group,Papua New Guinea,255021
Loloru,Papua New Guinea,255030
Simbo,Solomon Islands,255050
Kana Keoki,Solomon Islands,255052
Coleman Seamount,Solomon Islands,255053
Kavachi,Solomon Islands,255060
Unnamed,Solomon Islands,255061
Gallego,Solomon Islands,255062
Savo,Solomon Islands,255070
Tinakula,Solomon Islands,256010
Motlav,Vanuatu,257001
Suretamatai,Vanuatu,257010
Gaua,Vanuatu,257020
Mere Lava,Vanuatu,257021
Ambae,Vanuatu,257030
Ambrym,Vanuatu,257040
Lopevi,Vanuatu,257050
Epi,Vanuatu,257060
Kuwae,Vanuatu,257070
NE Shepherd Islands,Vanuatu,257080
North Vate,Vanuatu,257081
Traitor's Head,Vanuatu,257090
Yasur,Vanuatu,257100
Aneityum,Vanuatu,257110
Eastern Gemini Seamount,France,258001
Matthew Island,France,258010
Hunter Island,France,258020
Newer Volcanics Province,Australia,259010
Narcondum,India,260001
Barren Island,India,260010
Seulawah Agam,Indonesia,261020
Peuet Sague,Indonesia,261030
"Telong, Bur ni",Indonesia,261050
Singkut,Indonesia,261070
Sinabung,Indonesia,261080
Toba,Indonesia,261090
Sibualbuali,Indonesia,261110
Lubukraya,Indonesia,261111
Sorikmarapi,Indonesia,261120
Malintang,Indonesia,261121
Talakmau,Indonesia,261130
Sarik-Gajah,Indonesia,261131
Marapi,Indonesia,261140
Tandikat-Singgalang,Indonesia,261150
Talang,Indonesia,261160
Kerinci,Indonesia,261170
Sumbing,Indonesia,261180
Hululais,Indonesia,261200
"Daun, Bukit",Indonesia,261210
Kaba,Indonesia,261220
Dempo,Indonesia,261230
Patah,Indonesia,261231
Ranau,Indonesia,261251
Sekincau Belirang,Indonesia,261260
Suoh,Indonesia,261270
Hulubelu,Indonesia,261280
Rajabasa,Indonesia,261290
Krakatau,Indonesia,262000
Pulosari,Indonesia,263010
Karang,Indonesia,263020
Perbakti-Gagak,Indonesia,263040
Salak,Indonesia,263050
Gede-Pangrango,Indonesia,263060
Patuha,Indonesia,263070
Tangkubanparahu,Indonesia,263090
Papandayan,Indonesia,263100
Kendang,Indonesia,263110
Guntur,Indonesia,263130
Tampomas,Indonesia,263131
Galunggung,Indonesia,263140
Talagabodas,Indonesia,263150
Cereme,Indonesia,263170
Slamet,Indonesia,263180
Dieng Volcanic Complex,Indonesia,263200
